,rating,rating_title,rating_description,rating_pros,rating_cons
32,5.0,Good hours,Good job. Pay is decent I  work from homeGreat opportunity for advancement. I was hired in 2011. It has long hours but it’s well worth the paycheck.,,
33,3.0,N/a,"Good Schedule, Nice food, Good Benefits, Tight Security, Culture is FUn but Management Sucks (Philippines), Payroll is always lacking amounts in pay and the delays are months, hardest part is when they shutdown and pulled out from our site, we all lost our jobs.","Free Food, Fun WorkPlace, Benefits","Leadership and Management, and Payroll"
34,3.0,Great benefits poor management,Great benefits poor managementIf you’re of a certain age it’s not a good place to work if you’re in your 20s it’s great if you’re over 45 not a great place,Free food,Not for old people
35,3.0,Contractor Engineer at Google,"Depends on your department, but from what I've seen is contractors are held very low at Google. There is little to no flexibility, especially when asking for time-off. There is basically no support from managers expect to meet job quotas and contractors are severely underpaid compared to their full-time employed co-workers who do literally the same job. And no matter what, don't trust recruiters when they say conversion is possible. Seriously, with the recent re-orgs and budget changes, head-count availability changes almost daily. I've seen contractors either laid off after their contract ends or pushed to become a vendor so there's less limitations on how long they can work at Google. On the bright side, they are implementing a standard for contractors to get some more benefits from their hiring companies, can't say if this affects the hourly wage as I've left a while ago in search for better pay.","Free lunch, promise of better benefits for contractors","Tied to a leash, limited to 30 minute lunches, everyone goes off to enjoy Google events while Contractors stay to do the work, little to no growth available, some departments will flaunt high conversion rates in past, but nowadays there very little"
36,1.0,Fu google,Google only cares about profit and the same political outlook. If you think differently your ignored or talked bad about. Never will anything positive about fbi founded corporation,None,All
37,5.0,Culture,"Everyone in the company is very inclusive no matter your role or your salary, if you work at google that is all you need to be included in any activity.",,
38,1.0,Corporate Pirates,"They purchased Motorola, isolated us, kept the patents and sold us as soon as they could. We were never Google, we were the red headed stepchild. You could tell they did not want us. ",,
39,5.0,Relax,"Es entretenido y fascinante, busquen la mejor manera de aprender lo máximo que puedan así como derrochar sus habilidades y conocimientos.",Ambiente Laboral,
40,4.0,Excelente,"Muy buena formación de lo que vas a realizar, gran apoyo de siempre en lo que necesites",Sueldo justo,
41,2.0,Poor Management,"The team I work for is structured of people with very poor working  experience.  Especially, the head of the team, leads and POC's are all non-professional.  Overall, the management is poorly operated.",,
42,5.0,Everyone is very cooperative and work together well in all aspects of the job and support.,Its a very great company to work for. Very friendly people and very knowledgeable in all areas and phases of the company and products that were delivered.,,
43,4.0,Fun place to work!,"Fun place to work, but the industry can be complex. Depending on your manager, you can be on your own. Utilize your coworkers and take the e-learn to learn more",,
44,5.0,Productive and fun place to work,Definitely a great place to work. Loads of activities to keep moral up. The culture was amazing and the staff was great to work with. Everyone I meat was friendly and helpful in every way. ,The cafe and lounge areas,"For me, wasn't in my field of study"
45,1.0,No job security,"Very bad local Management, they are not worth but act like it's their own organization..  Supress, insult and dominate subordinates..  The managers are not worth a paise..  Too much INDIANISM & COMPLEXITY..  FAKE CROWD, no work culture only fake attitide",Better job outside,"Do not work under INDIAN PEOPLE, They have their own complexity."
46,1.0,RUN!!! Dont Apply Here,Dont let this place fool you. They do not care about the mental health of their employees. .  - Managers micromanage . - Managers do not and will not have your back . - Managers will take credit for your accomplishments . - Managers definitely show favoritism,KPIs and the dogs,Weak managers
47,5.0,Fast-paced and Learning Oriented,Fast-paced environment with maximum learning opportunities and new technologies. Mostly focused on the automation everywhere and the best part of the job is workplace culture,Free Lunch,
48,5.0,Nice place to work.,Experience was good. Enviroment was relaxed. Always ready to help one another. Behaviour of all employee was very good. I always felt like a second home.,,
49,4.0,Management of Vendors are terrible,We worked for a vendor under Google as they outsource their support. That particular vendor had awful manager who only looked after themselves. They also ruined our commission structures month by month so no matter what we did we never hit our goals.,Free Food,Terrible Management
50,5.0,Evden çalışma,"Çalışma saatleri tamamen çalışanın isteğine bağlı bir şekilde gerçekleştiriliyor. Türkiye çıkışlı aramaların değerlendirilmesi, çalışırken bir yandan gündemi takip edebilmeye olanak sağlıyor.",,
51,3.0,Arbeitsbedingungen,"Fliessbandarbeit bzw. Accordarbeit, penible pauseneinhaltung erforderlich",essen und getränke kostenlos,Accordarbeit
52,3.0,Amerikaanse (werk)culuur,Deze baan liet mij zien wat ik juist niet wilde in een baan.,,
53,4.0,Fun workplace,Google is a fun workplace with lots of benefits. Work is tough but we work hard and play hard at the same time. I miss the Google culture and the people there.,Free meals and excellent health and welfare benefits,
54,5.0,I couldn’t be at a better more inclusive company,I love the experience of learning something ew every day. Constantly on the edge of your seat in the uncomfortable zone where growth happens. I have grown more personally and professionally in the past year than the previous five years combined. On the front line of new cutting edge technology. It’s an honor to work there and couldn’t be more grateful for the experience.,,
55,5.0,productive and fun place to work,It is a nice place to work at. Lots of support. A variety of food is offered in various cafeterias.  You get to meet diversified set of people and work with them,,
56,4.0,Adorei trabalhar no Google.,Prefiro não responder.. Isso é realmente necessário?,,
57,5.0,Brand Rep,Easy interesting job. a lot of driving around. meeting a lot of people and teaching them about the benefits of the google chrome cast which was the product of the times.,,
58,5.0,I am feeling proud to be a part of Google. .,"I really happy to work with Google each and every person of the company are supportive. Work environment is good and I have lots of learning from the company. On that time Google was launched Google chrombook and Google Android one phones in India with three famous mobile brands spice, Micromax and Karbonn.",,
59,5.0,Bon environnement de travail,Superbe équipe dans un environnement international et bureaux très agréable.,,
60,5.0,"Great people, managers, and culture, truly a great place to work!","I worked in Google - ATAP team.  I truly enjoyed working with a remarkable team of dedicated engineers and managers.  I was in for a 9 months contract then it got extended out to 16 months.  The product (Jacquard) Google ATAP team launched was truly exciting and there were a lot of challenges the team had to over come and we did, what a success story.  Glad to have worked on this contract for Google - ATAP !",,
61,1.0,Racist and sexist environment,"The population is mostly young white guys who seem autistic and over value themselves. Many of the jobs are task based so there's no thinking out of the box, no critical thinking or room for creativity. There are sooo many employees. In real life any other company would consolidate employees. They have 20 employees doing tasks that really only one person can do. Tech people are spoiled and feel over accomplished for the most simple things. A public school teacher does more in one day than any Google employee does in one month.",Free everything,"Long hours, working weekends, working evenings, arrogant tech bros creating the culture."
62,5.0,One of the best employers,Great work life balance. Smart people. Good remuneration. Very employee friendly. Good learning. Good all round development. Makes you a leader and always encourages to take ownership,,
