job_title,salary,company,location,job_summary,post_date,extract_date,job_url
Tax Services Senior - National Tax - Indirect Tax - Unclaimed Property Services,,Ernst & Young,"Charlotte, NC","Staying informed of current technical developments and effectively apply knowledge to client situations.
You'll help us provide effective processes, improve day…",8 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=61baca339915ee47&fccid=1544766d4c2915b0&vjs=3
Senior Auditor,,Wells Fargo,"Charlotte, NC","Experience at a financial institution or accounting firm.
Identifies and assesses key risks and controls and develops effective test plans for engagements as…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=6ab8ba9da693c40f&fccid=78bbcd26e39621f5&vjs=3
Tax Senior Associate,,Aprio Llp,"Matthews, NC","Providing tax planning, consulting and compliance services to clients.
Working closely with partners on delivering innovative tax planning strategies.",1 day ago,2020-11-26,https://www.indeed.com/rc/clk?jk=10b1714281e208dd&fccid=d04fee3adaea50a9&vjs=3
Seasonal Audit Senior Associate,,Dixon Hughes Goodman,"Charlotte, NC","Prepare work papers (to include schedules, analyses, and memos) and financial statements.
Establish and document working knowledge of the client’s business and…",23 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=f7265360ab7f77ec&fccid=8f2022a14c83ea0a&vjs=3
Senior Audit Associate,,Rödl & Partner,"Charlotte, NC","We recognize that talented people are attracted to companies that provide competitive pay, comprehensive benefits packages and outstanding advancement…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=20c2984a14cc736b&fccid=9302447067d895a1&vjs=3
Senior Accounting Manager,,Lowe's,"Mooresville, NC","LWS_USA_Retail Capital and Expense Accounting Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color,…",7 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=baf4ccd6ca27f96e&fccid=9a55d5dc8c10ef41&vjs=3
Audit Seasonal Senior Associate,,KPMG,"Charlotte, NC",Support the design and execution of an engagement's audit approach and procedures in accordance with relevant regulatory professional auditing and assurance…,27 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=5940ded6f9e5e4a6&fccid=2dd390c3a48a7ed0&vjs=3
"Senior Manager, Sales and Use Tax",,Xylem,"Charlotte, NC","Lead and participate in tax dispute planning and resolution.
The Role: Direct and manage sales and use tax organization in the United States and Canada, which…",2 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=09a3e74db0562b93&fccid=68ec8a8ee6cf5ac6&vjs=3
Core Assurance Senior Associate Charlotte Financial Services,,PwC,"Charlotte, NC",International hires or hires from a PwC affiliate firm to have obtained the equivalent accounting credential in selected individual's home country.,Today,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dr_hnQ-Jfvx8x1kl6LZGw5tBy_C31iSfGQgc5_4VANfqJsY2O7nCkw-GvebBoYC67NyEua8P3-XCJeAWAcFoIyW8quaLJmmHYalNqOaA9j0rnC_AvZgeiWuAmqzdXJdbrvKMJFeW2hXU5USN_RJTKCxzD2jftka4jjHYrWSJflhQSKIQEG1j8aUPECWt6ZmhOSy0r513UvDQjRO31hNCl3j2lPMuWAp4n9ENfWu7SZ-5MLyIUGw0-3uIiCJ8gZH3dGbzOufwK0eJNugiBi1BFNJlNwXy_Q6uoRws9AicmdmV_xBI2CcO0ewR8q6yuhyVs5j5m32fO79s1zBWFGXnqllLQLm8kZkjSMUoyXnLFIO8pBHYYDIB3ldcWtqSWIu0IQQYzoWgP6-Q==&p=3&fvj=0&vjs=3
International Corporate Tax Advisory (ICTA) Senior - Charlotte,,Ernst & Young,"Charlotte, NC","Tax due diligence, deal structuring, and post-acquisition planning experience and/or inbound and outbound transaction consulting with international tax research…",2 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=1cd118e6ba9b94b2&fccid=1544766d4c2915b0&vjs=3
