job_title,salary,company,location,job_summary,post_date,extract_date,job_url
"Senior Analyst, International Income Tax",,XPO Logistics,"Charlotte, NC","Assist with tax planning strategies; assist with modeling the impact of tax reform.
3 or more years of professional experience in a publicly-traded corporate…",29 days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=1ab72326e59f6de6&fccid=518acc75d1476dc2&vjs=3
Senior Revenue Accountant,,AccruePartners,"Charlotte, NC","3-5 years of public accounting experience in a large firm.
Guide junior accountants and other team members by answering questions and coordinating information…",Just posted,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrC2PeMMYObPYHFxv2Nw3CUu679la0BvBHizm877tdjeIfaLHYnwahvZtsTjn6YX1YHEQyrnJJ1pBOxbObv7AEQNzKZ0vuavT99zL7UXtkhoZTC88p4DBthYGv1EEpneqKtnKmwjyaYz4z61HK1fHqQ8XcuKMrARB_DZwfsOM8NA5msAZxzz6AWYpZ53bFJsXCaiB6uNyXe51kFwyPlP6plqjhjt42oCqbf8T8K-arbhy3y02KMokMwWkp0xxB7EM4JHPRm-1DimUs-2oMFFu1D8RIY-hRw__UEneWPi7lcTaE5qLTmKgEfMJksWLJbhd-XRfmxXvvtwSlAnosIRJ9lvzJn1lPYTVsVHfQ_vHFSS3jboHiQyecb8OdwcsXBu-JCRNuwOaZ0S-pxW1Ib_otDz6XsDFI7xuiKA_7mQjv42Ew==&p=10&fvj=0&vjs=3
Audit Senior Associate,,Dixon Hughes Goodman,"Charlotte, NC","Serves the needs of the client by planning and performing audits, in addition to any other related client needs.",29 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BX7rq5bxHIx9QUUUiCHR3GRbJ5ospyd5Pjj6pehsdPpTWIdVsp-8Y1BIdcbYJleym9gSw7dqeGmoXoOWmcT7CnNVeZC98fJNvNEPLKS6pKYTstCEmM79JYh_kdHYwrgUbiJD0VELJ1U9FEesiI0l8VZiGsaU7s5vKWMJmhj2Q1uAD6qw0Ylfegx9V_pbPjHoMQs82qbboOSVUk-Ae7Qsb9XNp-D7EQAFsU1G2ApDcaTBmByFCnTe-vpGypJJGC3xE9HjSYVnIkSbQrhQWd1Uh8GIEfvY1PdLYNtT-8XXqaL0YqTz6AxgFUBj3-TPXlxYZm2t4XpKSuMN0sVc3RQVywjWVYF-hN9VaXOtJRJgRbCXnLyBpTjyvMByVQoIZ89vlK3r5NoX5Kbh3gPZ5rdRaKlHgLMZ2skCJKjvdGPkL5VEWdLrmzLNd4zppBF3ltJEtn_jNEFJgjZrbsDhVWyizLAhfT2Td71RniOPFuYawIc_7K54TDwYBK4bElbQjTSmYjL8dIIOud5xygiexKqYyRbvOGr_YWoaQ=&p=11&fvj=0&vjs=3
CPA Senior Tax Accountant,,Ken R Adams CPAs PA,"Charlotte, NC","We offer 401k match. health insurance and paid vacation off every friday after tax season! .
Job Types: Full-time, Part-time.",12 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_00Q_tH0hnVh1sObUpCTEv8eW_HRxuzprptC2Rn6K3qWJqnsjSNzQumo29dEM0SpF13iQBYzvE6gb4gRmEyUCVjXpdElqPd2ZY96YeRiGRkEWwCXwCa48LfJ_oVCBwL1TUhN8u_ezqhyia_FBvx_HQiKvtOVdWWjmianaEXerjafpoB-FtD_aYHKM0UyAYXoAAZwID_cVteqtw1cisE_V6X62DSAPZB2aA-ZQtbizppb6epOiAia85YV9ZbL01VtagAgKnpRCH1p1ZD6XefyieEXXR_yx9KSEGYH0nVj38j0QNJZfc7DWBy8qXLvyO8SepkP46EkOGyuVXB8_KZPBn11TJmvfECAntfr6qHv8OprP8H6SqU_yanjXLjlVCUu7UhHGegGnnj-Szy4UACJO4RaxWcfxkhI92_53j866ThT-8Wmv6BDth9hpAF7Ljjzw6ASeRdQ2LK-oUuWESm_6qD3VjfP4g_c=&p=12&fvj=1&vjs=3
Tax Senior Associate,,ParsonsCPA,"Charlotte, NC",You will work with experienced staff and managers in both hands-on and formal training sessions to broaden your technical and professional skills.,30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B5TkFxHlCYPo0vOBXpj4zNlUT5EFD3OPS87FtW3bAXRWNqDv7Es5BmgeHWVNDJ-vmRBn_b9uvf_5du7DgtiKXCV3LEragWE-ddGGkGVp76g6iuW7PnnYdqLKuHhWpHgzQwbVnsWK9Bdmw-o2bH3xndu7V2l8UGhSRWLKoK_t3u2Xan-MqlVMPrV6Ju4-eoZHI25W7dbk2AWAkoG1AQH6c51FsYwcGZGpYWg3cREqfuf02FZamCQxGoFSM3vmgNct-jXDo2cHTrF7fLQyg4ZAq_goRxKDOLPWymIbOMoBaNYP_Mi66XxDx38n6cz0dhBHCuE33YRWx4rd4w8qAwn9pujPqMiBIOVt3HuUqgniGuxllTS0EyD58bJO-KOjV8mPNRY5eMYBRmjj9Qn8rFP5d3e6dckXeZ3jDgSKOizW4DdiSHJTxuHE2Lci2MTDoUR9Ouklmc15FkoM_OGQwh9owku4uA99swIUw=&p=13&fvj=1&vjs=3
Senior Audit Accountant,,Bernard Robinson & Company,North Carolina,& reviewing workpapers; keeping mgmt. informed of status of client engagements; establishing & maintaining good working relationships with clients and firm…,21 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bqp1klGN3DByv8CXiIDwvu9zdnux5himD5pe0PQBmTD78jy0CdOvWdq_WF8E-ev0bzeUqFWJe8BNKhcoJiuw9tLXxE6ZoA5jnGgANwANfzLTifg-122x-MOGcd9ykzSiZ-n3xQnb4hc8UJvoIAkGwJzEduOvIJbX6USFHnckXmVjKY05hXcw3uPMup6VqI9ChMM7NecrCIoWerrCsQOib75p3PRo15Jo8I6kDBLSbDxOcp_7cpBdRc8qurQbN-oToe-CeTxfsSh4rc3nBsdvYj5nHul1rFuSHkfk7R5isdJKFAi1gSQxh-NsjQ_dsdqVEeFYgNK9IrIKEi_gYs7UNugRnIRnoytR463RJYtHIH-joaMF9l_Wh5jA8S27E0LmgSHb1M2f1iqGlBN8HksfjUmrpO5xABRxCrc8KGN14YxGtMcJz9alsfiYew4cTUANPct8v1NUUrUfReKsOYZ4VOs55fR5IH1fE=&p=14&fvj=1&vjs=3
Audit Senior,,ParsonsCPA,"Charlotte, NC","Demonstrate the ability to provide team with directions, play a key role in execution of audit engagement from planning to wrap-up, and develop audit program…",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B5TkFxHlCYPo0vOBXpj4zNlUT5EFD3OPS87FtW3bAXRURgKOVyMyVJ5WI-UpsCO-tQAVYJsJ0ZGtV3QckeC4pvGIiEUbcQ1ksooyWHIBEsnNUmmSX2w3wL5F9BxlYDnVRQhKLz92vfIQ-4x6RCSIIlMMSlq5lSsd0lOzsGsS0cMZ1K9ofKBWAKJAoYH6_AYZGS2W423cZ7yfv3O2060ZaE5LWU0Sy9qCwU5Px9FWavQWcbUdcDImLjjg0Hr66E68DAQ_4INC8ppFzO2CnpUl49MNSjj_2tqZOBscmJ2-UKfnm8JE3CAqiMdNt0PNHfkjZkMRYLBGkfOozadpS8-TgI10WVOMX1FTNcwFa3Fos7NbykuZ2PPBPicnX9egXMD5pAWzGOVdcmWgs569idDFgsJlF2FXSoqpW0sdc7mBW8YUxOjKuwN7zIsDwswArlJYPJ4EPZ_s65ZT4_2dtB2uGQ&p=15&fvj=1&vjs=3
Senior Accountant,,Corvid Technologies LLC,"Mooresville, NC","You’ll be involved in everything from providing your thoughts on business strategy to organizing contract files and journal entries.
2-5 years of experience.",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bhg8u1w9r_kD05juVR7y2SCtq2ZqWPaYG6Na1NIAG2HXVlgBYasEVQHgwhU-2YlD0cTM6vo8Uu6QKopK3Rvk5sH_rZrss66FT5LaeH-RnZ1BBqmznxUZ_GrIQTnv5NzmKvDs8P3Pt64XdMXD3EbX_MH9VPIwfa5ACCgJb2WIN8THjqPY5Rp0wzUAlQxRGbpW5ZL9TT58P79-Io04yGNrE0CWTsFNBKEydllcJA3pWmYg4IcQNROa7pCK6-CWUXhYmqpuI4PDvn0RL1_tTSMUjianop4tGaoF3rLe2t9sePbBHVcmOccq_A0y9S-GTd4S_NbAbskxjpSAiNDAkUiw5fuILv4uVsdgLUGs0TtC3-PL6J3DSAk8hxIzAaTWAnWYdtCHU8jWnSGyMOHQe1CQNCMmNdokOJh77xmXRhXLr433TuwS4MO8op1DfduI9lpvNNLGpZaYuwKCyU7F_3_ixDQJJaUiTOnK4=&p=16&fvj=1&vjs=3
State and Local Tax Senior,,Elliott Davis,"Charlotte, NC","Perform or manage technical assignments in the following areas for state income taxes: due diligence reviews, state tax provision reviews, state filing…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=0fb58397e3ef3cfd&fccid=a3b99287cfeec2b7&vjs=3
Tax Senior Associate - International Tax,,RSM US LLP,"Charlotte, NC","Dedicates time to coaching others in tax software, business process, research skills, technical expertise, planning and project management skills while engaging…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=486fc02e672be8ae&fccid=198b7374e1f8a26f&vjs=3
Senior Tax Accountant Job - 100% Fully Remote - $65-95K,,W Talent Group,United States,"Candidates will work alongside junior and senior staff, managers, and partners, and will be provided with mentorship and ongoing feedback to promote learning…",2 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D63Aq43jk10ETk-yivZg7chB-7Ef0rperOxrq5wLWpxcCxNJV3mN8vs9utjvDakm9302emOdTHCC7SDPNhGnlXtEfHjQoeoEDjOAhguLmKkEXr7DqcvjTM0thL5DhmmtGW9ohcDBHLvEIHkThAuqE5ful2OZtfVca9Cso9Df2Q48jIv5Y_k9-cJBMCZQVw99DT0AtGaaD3gVe5cvA28eAoaFzvzvqfiRVscp1Ak_eQSNprvRFTy4fSHBII1mrhPvKLKuz-BkaQCf4TDNvqPlH9LX64AgTfARUmzGTNr__-FPpxAzgbdDCm2JAZb9x-9q0xUJJdY__v4ZNONf7In9NwPa1gyVsV0Fc6nVEb-5krEdU-04AY6e9Kdge483N19uNSW3q8PkLUd7jm1jZwfqveoWxrroChTUvJYMiGRReg0_eiGadqgn6BQlg2T8-XTOjRY_xN-7xlS9H35fSuXi7gLCWWIosvqYYw9fhotTnzzaSBOHe0fhUR3OeuGNPez_8=&p=2&fvj=1&vjs=3
Senior Tax Accountant,,Confidential,"Charlotte, NC","You will be responsible for becoming familiar with current tax theories and laws and performing procedures in accordance with firm standards and in an accurate,…",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C18Ur47gwP-Ti99Ogt8PpdulwLqllFYwYikqVWHOtfpIhlOTf9ppE4NzTh_vX8xLF6kbn0Tm2wIYmoiQJBGZ2AHDw8HmGaJyXC-piyCnaPTto_XtGRzQZp5hRrhP4509jCaPvvcpY2_Jv7k8eB-PtrHbVvdFnt5AA59-qngkG2kOVzJwIoPoudrjQyWpHKWrEQk37KG-CvV_OMcpOiih1PB1Lny38bE7kaz1ZaLTRM4uo32uy7l5f6EjBfoWHIrIH2SsvixKavprU9a6w177grqn7ucOvrzkUPiPFOwRUpXYFCbYzq2HZ3Pe3_t1pQXH9xn5WEp4SgVJVLCVn3GDhb6o5a2pMOGarnh41l1F1fjRz1CUZSZZRM6AOjB76mB0J5rYwivwX_Zg4UEm0xt1CkRsffuVQARZ6aulm3jxZZEXXIqD80jxDLxUL1TtoDBVadCxXmxl3r8ziaNUF_MUTCYY4VsXk47Dc=&p=3&fvj=1&vjs=3
Senior Consultant - Internal Audit,,Dixon Hughes Goodman,"Charlotte, NC","Provide the following advisory services to clients: Internal Audits, Operational Audits, SOX Audits, Compliance Audits, Process Improvement Projects, ERM, and…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=c3613a493aa3a681&fccid=8f2022a14c83ea0a&vjs=3
Senior Accountant,,Kaygen,United States,"Big 4 accounting or middle tier firm.
Review general ledger accounts and develop month-end journal entries.
Process, maintain and report on fixed asset system…",Today,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnlPV7QUTCWdKuIJzmELfVYl3Q47lQqD3bFm5fkBoxwGonBVD7Eb1UWXyWQEO4ZF9LD1lmRoSfHSVY7syJtlFB96y0Cw2grMJFLal8NdnTaI-z-ou9oAvYR3GVBZXEIqtFVuCUkdfPeiIkOBcjGFA5PbvsgA4x3yk2ea53D209RAeTDq3xV50Z1N6Bo_6HPZ9CcS-sIdAlGzLKTrMiM_c4RLIjnzFKBlyejyTFkWA4BJLGAkqiOH30Q_nvfo3LvPtJHtKOR0K4VnV4mhCzNStD_nwmTyO6jwwyEH3SpGgPW5s7Q5IBQYE954dr1h19y-KgbEs3zUKC7Rmbs2_447tKaahIsQVhIWP_CfRLjq6xLT5OcVxMItnumX-VA2efDhzWPKrUjL13X6U7Qb6JmavgoHc5UVXjHakulBs21_h8uCEOYWTVX3HUqDZASaqR0GyZGu-xDzXTTVDWOL5UByYRDIR-WLw6Buw=&p=5&fvj=1&vjs=3
Core Tax Services Senior Manager,,BDO,"Charlotte, NC","The Core Tax Services Senior Manager is responsible for advising clients on the tax implications of their business objections, evaluating and selecting…",30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=2c7ec43b9512ac06&fccid=3639654bd4055c70&vjs=3
"Audit Senior Associate, Renewable Energy",,Dixon Hughes Goodman,United States,"Serves the needs of DHG’s Renewable Energy clients by planning and performing audits, reviews, and compilations, in addition to any other related client needs.",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BX7rq5bxHIx9QUUUiCHR3GRbJ5ospyd5Pjj6pehsdPpTWIdVsp-8Y1qW3HHmxZjXdi2mTjfT26PIiygzEhj4fVdshXAqtvWpASUxw-zsEIu4foH9H8T-9en2YwtEXhqn-hYpr4iqdltzygTDALqNfX5XzwuATFgFiP6ljAfQCK-oaQO-BHhUi4nVSu8TfgwQbgahDjoKQ3yf7zZYZ0YnNOEF3L0ISOxXZUX5dgxdaAg0UkS8VguFZmJL0jKJXWv2QtrBeFT-1ou6kEqrzjBlF3LanAZQJTSlYPWnd7Fq3uGU9UJSFvm7YJNUi879U_0pMiurEjvpFwEzzRgPkX4pYw1DgQyGRnug9qe-xIF35n47YndIUccg5fRNbcByfEv8V9160r2eCSwiYRKh6bBJZgpOSPiOzeGPXa-i6nS5TFrHbp2vwWdaIAfccQNgBHviZgUtJLowJZr29wSCNhQIaJQbXoiIMm3ahB1eEiZAJ4CPmLN6m66SgAVoek1LnR6yjX9aOxL-vta1NAJ5tp6C7c&p=7&fvj=0&vjs=3
Interim Senior Accountant,,Vaco,"Charlotte, NC",Required to be a key contributor in the annual strategic planning process and the development of operational objectives for the plant that are aligned to…,6 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6tNuGUn3kgN--zXUdU4rVb21NH1Op3ICbfKW-gjbxQaxV97IOHjPc222glqv3SWUlOLJBvyc0rq2eSIWrYoVpqNh7qkmSql5C6YshacXq7ppTMTGvDomWNwTzZdlzU9u_Q2OsfLifpy1p2VOUAJph-aR5d4Uia4jBla3p2wbasU25uMyPaiUMl_yUfYn7fprzbYHm7J0vNApj19vyaWcOmuKj37Dq94oO8mWNMBMe0bqngoTk-tZHCveALc00cICvuc9MCTspX_izgZj9ZNtgT23GRfZlW6r2JkHks-0ErroYovWJDamAb7OOraC3r13sXt738JazvFeOtNVos0Sz47pNVny0gMQK_kcapxTSwOSkSBL69dCqaBkszUubrENQPjKRqBvZ81hdQuFTEM1jVwrKYUsPsrBmoN-A9T3aTQXiLETJ9w0Joi3TCyLviETNVdLr_A-GopDA==&p=8&fvj=0&vjs=3
Senior Fund Accountant,,Spiegel Accountancy Corp.,United States,"We offer timely and constructive feedback, development plans, and provide timely and regular one on one meetings.
Detail oriented and deadline driven.",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AktFKg0jCT_NfGLw1ZG5azN6Sv4xRUpJKei4QqfRdo9HmqXGXf0Km7uLbo7FbbAAxb9cRnkViQYpvVkazUV7lEsCo521OviZ62gsrWtirDWLnxZDiPIlrcRMLOTSv23yrskLi-ghpGtQC8qGmaFN-g6Eaxwk5E46Rn1khjc-6dyBPFdcZ6BAEXPg_b-mNH1LJNld0hx4g52sCHLJ63685rw1S5M7HOyiCEzSzrTp2TwbWbg96Ey4cRVDh-R2gzIgJog35rPBJKzroOL88FSqEWwSYlXAGNc7VnEn3qq3tUjoOkb7QpV24Weq0ZbzLkQAuu3tlFiQMIQvSoHwYl1PLtkgelyJkDHoAMJzujdW5LCs_i9d80PKECNU20p5AfbvhMp15DjT3cJ_gXD47r0sKNSk0RO3Q7KfJ3ClEpUJxNX6QcNaTV6Wak2BAqEX810pKuucRAuw5MFt-hSM9U4ham&p=9&fvj=1&vjs=3
Audit Senior,,The MFA Companies,United States,"MFA is seeking to grow its accounting and advisory firm with the addition of an Audit Senior.
Bachelor's in Finance highly desired with a Master’s in Business…",1 day ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aq3NzfwYUx_VL9QTYduxBHE-_SmpORH_R30UP9LY4pqvbuwAYi3vX5gPmxXaXlPF_w5yCCfnuvJYtLLREImR3VZaqpQ08PH4Grw9nEhSURvdDjmhA__F0v9va5pI28a1ul7oNCs_3lbve2k088BnaUwHF0W2eYRiVNgCl0gUWbTPVts7q_WFOiKERJ3L23YUsWZhWwyoJvnrASQ2EuV1UBlsltk8D6Gmkb4wDAtQxVcdQG1QcdA2hM4KatoPXNRxYBR4bRt3LYBNJU8QIDYyG0eoPiSecAxe01f87HWSqlTlI2xZv6fhcp3cxQEKbKX3l-WUJeMbhFqJi9uoAp60vZYQI_wlDsz7F3715FzOOvYs5A5xvRNpmubJgzESPUOGyJm7E8vLe0Ji43Lx1mv4KV-qLzqJdu2h-d6bdwDpmDNOJKtSAFJxjkLmtMtnt8lJvCCjI3VSIBfA==&p=10&fvj=1&vjs=3
Senior Tax Accountant,,Lewman Accounting Group,United States,"The Tax Manager will be responsible for identifying and implementing tax planning for high net worth individuals.
Organize and update the tax database.",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjvdZrwm0xUH9I1NkbFLlARnkoTMdHODaMPv9Znu-nKOrrKebuKwW3z4vqFLXEgvT-fHjG5M2jc8Y20fiNBIK5QwDQZGvnendtDEslgYxjHjrEnfEut0-sAmfRZSarbjr2T5CnHTnle-YKqGHbLNZqOgEUiw3HzzWNJJTE9S5uC0r3ToCpOh8IwRnlXivSsZKCwvMvRqCJVqdc-iWjJNNIjWZWOR80ihepZoV8MBXzaO_3CAKITP0UkvfUqC5X11UDt4WUvB_g5tj48PKxi3PrAbRB8Ol9sHDY_GM32B7KB4tXoLJ4i002bFqNdKSKcVWE-LqWgu-JXM8agQa8zVxauzpJdRexp8StfOrZoFOIfT6hRCcaO6zZ8BoYeLqAvPGUrPEAOrs82mVXDHyP3qoNkyc19zqysX_d0PZiP2oUrXxVknOvnbWv7b0jDTEoDvr-61chZ8Kw5PSU3rFdLTlM&p=11&fvj=1&vjs=3
Senior Tax Accountant,,Vaco,"Charlotte, NC","Experience including corporate, partnership, individual compliance and planning.
3-5 years of experience in taxation, required *International Experience a Plus!",9 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_sybMACCpf9B-677oK5j6rPldVB6BlrVvFjO_o-GJZbzuF-qh4PxErFUqfUsv_6uudQW2ykuEM2EGP-x_wJeMZ4RT-75RGLGhwdBWjhot6JEjVazhkGsIP2eTrPjbJ-KxJ3zDAtb4Z0BOfdBZf5NCNNsEW_YKDp249AExPUrkHM32-0h8vutyC-FvkeJYgY2hlsmmkPsxXvh-MnFKrnW3YQVXRneNdTLw9dgpCcylMl6grKguc_RmY8kr01fSWmD5Hdi9JjHmqBXviqxUPTXbPUDGvjB_mtdH2IeYH8Q891gbbAamWNo0-CH55JaksoQoB6_zZ5buSUaeZY2VJpRvwxjY2_2yyZb-wCJbg8ZMR4MGo_TqKD7D6XOaM5MLyd-QEPrKGSRRpaOj9S-ukC0kepwxWtp_08Jz4ff8RQvuM3Y9GHY0Y8jpV24x3Vp5wj62dzc9Wu34WhijBhTd_8iGKMdf3441mkQsV6d_8WtRfmE1jt2Zh6q9IqSkzZI5gr0=&p=12&fvj=0&vjs=3
Senior Tax Accountant,,Club Capital LLC,United States,"The Tax Division is responsible for the tax planning, preparation and filing of individual and company tax returns exclusively for Club Capital Clients.",27 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DHmsBfGLNdsbiOZHFIFkgrCCE3d6_VLeDEVMAXpukvf13oSKzCnrtRjZbdCqiQ_xZH2Td93VDVgbREAYXWTC_TlZbX3WQlL5hEUhFuUPXGBnBHVnIS71r00yq2f12S39oD_6LnNnwhtjn2E_KgCv2Md8y0tJdIRIH46Y5Vyey3y9Kg3K_z94I08gOdVkdHK_DuR4GTezkt_KLLGOKqquVh1lvL0LYrxoW9I7inEZx3xHbi0vGaxbZqpM6pxJouGtkeoxlsIB_7rtIW-7Hnf3ckZGbuHgFLvrzo96mSKSWo2iOEYX-O-2PvqlYDKvjTiId_Y9kXxu17dbx1gtRVACI5KruNfagJKF9dnUYvwciAF5EZpL_hSprc76phkP6yNlWgrGCT5g5TC9AK8aHkMIExuQitcGzXuVQvWaFWCarjzsEcmn5X-NqJ&p=13&fvj=0&vjs=3
Tax Senior Manager,,CohnReznick,"Charlotte, NC",Identify opportunities to expand the scope of current engagements through identification of current client needs and target client requirements.,30+ days ago,2020-11-26,https://www.indeed.com/rc/clk?jk=d8d8d56f4b5a965a&fccid=f0bade0760e83581&vjs=3
Senior Cost Accountant,,AccruePartners,"Kannapolis, NC","Leadership team with years of experience in their industry.
Conduct inventory valuation for actual period expenses incurred and implement process improvements.",7 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmq1pj5Dwku4j-j-jMxiR3p8DjIx5wPgrGZP7N5_dynGcPrp9S6jFTghBGlLhymrCtODI3Unq54M0eGOF2ELZg4xDZIKrgHQo4JyPwxyLHALpMM9vHllwHX_x1VjOHSnaZ1ZXcHxO1CXM2S1Ka7YVj4cxFtHKGx7UhzYDvcaOmkzFpUtvZtui4jDjNSLpRc7vtSUsSQgf9eM5S1jH_SWQjLnYMguh03Ij8MTae8SWCkiMyouSLLMEvZxRBP4kByBpb6M-fRZhNvmkJjsOyb-Xu55CLaPojroZnf20incMCwvrlsObRl9CY9PCt1AYRVPSQtWX3wQR3WdMZvWmzE8XtFwUpRLtyXTRyoFt0z5kkct6kUyTeGs1Ywrfj0Ep8vlowAm4WVSovs6_mN4M-TdRZRGNiEOFbn5668R_6IEsqLWDAETWX5P9kOTl29lwaOUH5Y3s0t6GWuH8sJejJO-wgPGVVAzM4Amo=&p=0&fvj=0&vjs=3
"Senior Auditor, Conduct & Ethics",,Selby Jennings,"Charlotte, NC","Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding the organization,…",13 days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ac1dQX5O4bM0SP6UJQV27qUKlsnOLo2dFi0v4Kq4pXXbjTLEo__hQoVZKYm7yRnOGxfuJ2Ht48sdSQ9zQUI_I9dPml9Y37yfO1K60I2caYqrZDtxeAbMiCcT4FL6Z1bFYg1jandBREC7N6ICSHDkihaKUiR9xb74bJ3MaKGRyZVNZPh54PQb4jvrYS4uDk_7RnTBrMUpxdBkbu26vk9RRAErvRJ3WY5aXYoNlDCQqbc17YOWFxhsOqcd6nqGRNSKq-yV0r0W3wuo-T2XAE6jv2MRa9SbyT6zxhcf65atI7R2awa__lRZ5EPYgKMfo1zPiY4xxMXw0Sn53an2e0ORVS0sZUoYp3p2Gjt-YwLOW945PUjx3wFuvtgyO0V5zkdrpLF3VHYh4wgAZA7FzanxDqyjk0lHFn5XKBtv2IZ0FeT6Xj_MpNewnjDp1cfHFP65hzsVW_3ihyaU-igIgka6jWCkbkXUSJaSHWB49L9chcY9YT4XL3jfgynfaW7W_mv6myEPj5R4aQs_9j3m3i-cka&p=1&fvj=0&vjs=3
Senior Federal Tax Analyst,,Pure Search,"Charlotte, NC","Fortune 500 company looking for a Senior Federal Tax Analyst to support the ASC 740 and U.S. Tax Compliance.
Reports directly to the Manager of Federal Tax.",30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRQvFmim7Djpm-H9mnvPaSsQcCXDXm5PlmwPCgGO2LFqLk0YqYe8gE4jqn9gHMMQgWeS4W0vx0uTdVBxaDG6sSPh_qZgCClBuMCj4DASow8eE1OrvbdbA-mVW3kBth6mBf64wMOB4mGWp4md9EC1UNr8ySUlcHXBV3wwTgpWdD0Fr5fcQhj4izZNcOSXwvUlgXkksACNu0vGiqtjW_wMoVJznigap9l_cqH4DqMy7tJIkYZWXSUdZvmgvo7VZ7YtLFqfE7ltLIzRsXnB9o7F1lS4bZcU9Q7xRzye8wHg93vU_smqnXbsVV2WZg9HyTrhgXHqv_viqA61v-jKDFd8nWu6hZHgZSUs-kGo9hJidep0rptAJ_Hs03dTKwgqMkngxYqreeU1gvwVpQM_YuAbfaQaVraQNuAJFGseRsaHynvczx-Vi3Ag-mwJBt1k3xwW6ln-RMlE2KhXyRbAbqRIzx58NZqOlrAlmSpCTA8Fr0Ug==&p=2&fvj=1&vjs=3
Tax Senior Manager,,Sparks Group,"Charlotte, NC",Identify opportunities to expand the scope of current engagements through identification of current client needs and target client requirements.,30+ days ago,2020-11-26,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVbIAoVGlVV0muHIzlWY31dYj5hrVkKa7qBWZ-hZn3g-zWnitpxah_RyLopvrEJPLc3hdCno0_QtGb9DTDD6jI3MDqlBs3PD0Aa_fG9Fm0kqN2j8eeKhbIvS3nyMO3Aki-B9zEgODHvW7XFHcTALMkiJHzRD2g7V47AWSGRs6YeRlejV6CYbAOzPjbV4yemXRRdhKTRQjpI5kmoCkwJ2vrpSZb6jxW1wHjqnqJztxpAoJthQ6_dQUehyErwsQ1xT4hTfMe6Magabe5HyCyMLDejFfdmbS4VjEyzDxrgeAJvWiRCcRmEANhAc7ID0lXL21cIcjj8y2c_iC8duRJxaOYuZPxpydjUr7b5ouCLJi6nkn9OKpuP2WRhjLcTqP19lbpwFcWEAd0iSDrNJJ31j3vwtBTrQyAmzUv1Z-eO3TKhg1BexpQdFM5t2pd52vCxWBynVbAUzb_yw==&p=3&fvj=0&vjs=3
